,song_link,id,release_year,duration_ms.x,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7548,https://open.spotify.com/track/34I0nBvoE0ZXmqbKiJ5BWS,34I0nBvoE0ZXmqbKiJ5BWS,2018,219733,TRUE,Stranger Things,67.0,0.867,0.663,10.0,-5.838,0.0,0.178,0.443,0.0,0.117,0.481,121.978,4.0
7549,https://open.spotify.com/track/34iOH7LY3vme5rQxsVILZ4,34iOH7LY3vme5rQxsVILZ4,1980,208453,FALSE,Love Will Tear Us Apart - 2020 Remaster,68.0,0.527,0.923,2.0,-7.458,1.0,0.0379,0.000541,0.765,0.127,0.899,146.924,4.0
7552,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,34LI7rwi9H8w2S5KTHnv1M,2020,191945,FALSE,Qui√©reme Mientras Se Pued,85.0,0.793,0.782,4.0,-3.945,1.0,0.0582,0.447,0.0,0.124,0.81,143.86,4.0
7553,https://open.spotify.com/track/34lLAsdH4Y5TLf1B2SIj1I,34lLAsdH4Y5TLf1B2SIj1I,2019,237065,FALSE,Killing Me Slowly,64.0,0.345,0.89,1.0,-4.175,0.0,0.0774,0.000725,2.98e-06,0.204,0.276,137.973,4.0
7554,https://open.spotify.com/track/34LZqt6BPC3qVzHn9AGvJZ,34LZqt6BPC3qVzHn9AGvJZ,2020,483996,FALSE,"Piano Sonata No. 28 in A Major, Op. 101: IV. Geschwind, doch nicht zu sehr, und mit Entschlossenheit (Allegro)",13.0,0.433,0.106,4.0,-20.943,1.0,0.0405,0.992,0.9,0.0964,0.286,115.099,4.0
7556,https://open.spotify.com/track/34MqDD3411uJQvXsqpZv3D,34MqDD3411uJQvXsqpZv3D,2017,122790,FALSE,"Sorry, I Like You",66.0,0.833,0.641,9.0,-6.337,1.0,0.0613,0.266,3.75e-06,0.268,0.586,86.02,4.0
7557,https://open.spotify.com/track/34n8xD9eHSdpwIGffhSLvW,34n8xD9eHSdpwIGffhSLvW,2019,213653,FALSE,God Only Knows (with Dolly Parton),59.0,0.656,0.561,11.0,-5.626,0.0,0.0495,0.276,0.0,0.143,0.469,143.962,4.0
7558,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4,34oWbFBfGEElvgO0a5c9V4,2015,165290,TRUE,No Flockin',71.0,0.943,0.595,5.0,-8.372,0.0,0.191,0.0673,0.0,0.0839,0.815,117.532,4.0
7563,https://open.spotify.com/track/34SQ0QfLSR316d8KL2zkuZ,34SQ0QfLSR316d8KL2zkuZ,2016,220893,FALSE,With You I Am,65.0,0.559,0.665,7.0,-6.233,1.0,0.027,0.403,0.0,0.14,0.397,75.023,4.0
7564,https://open.spotify.com/track/34TAFsrcHSBvLxhXZMBRSF,34TAFsrcHSBvLxhXZMBRSF,2020,211319,TRUE,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",61.0,0.898,0.468,4.0,-7.531,0.0,0.067,0.049,0.0,0.107,0.171,100.052,4.0
7566,https://open.spotify.com/track/34x6hEJgGAOQvmlMql5Ige,34x6hEJgGAOQvmlMql5Ige,1997,215133,FALSE,"Danger Zone - From ""Top Gun"" Original Soundtrack",72.0,0.544,0.897,3.0,-6.056,0.0,0.0471,0.241,0.0,0.13,0.647,157.17,4.0
7567,https://open.spotify.com/track/34xLCJSfCdBPcPxZTRezwS,34xLCJSfCdBPcPxZTRezwS,2019,257071,FALSE,Dancing Is What to Do,53.0,0.882,0.741,10.0,-6.504,0.0,0.0383,0.209,0.0,0.0871,0.612,119.995,4.0
7568,https://open.spotify.com/track/34xlhQfhnw9uQvnA4aAarB,34xlhQfhnw9uQvnA4aAarB,2020,298346,FALSE,Le√±a De Pirul - En Viv,31.0,0.363,0.706,3.0,-6.247,1.0,0.0767,0.665,0.0,0.948,0.671,105.337,3.0
7569,https://open.spotify.com/track/34xTFwjPQ1dC6uJmleno7x,34xTFwjPQ1dC6uJmleno7x,2016,177922,FALSE,Godspeed,77.0,0.421,0.0952,6.0,-12.561,1.0,0.0479,0.931,0.000201,0.126,0.0773,109.698,4.0
7570,https://open.spotify.com/track/34y5scwz0ivKd4gQtLYm8i,34y5scwz0ivKd4gQtLYm8i,2020,196636,FALSE,Real Baby Pluto,45.0,0.896,0.567,1.0,-6.537,1.0,0.301,0.0169,0.0,0.104,0.557,142.029,4.0
7571,https://open.spotify.com/track/350kyj3PwTFlQMOpWzRd3O,350kyj3PwTFlQMOpWzRd3O,2009,242253,FALSE,Volver√,66.0,0.5,0.417,7.0,-11.239,1.0,0.0325,0.871,1.71e-05,0.232,0.455,120.067,4.0
7572,https://open.spotify.com/track/355Iio8RwtmqE7Tevbzy0G,355Iio8RwtmqE7Tevbzy0G,2017,313512,TRUE,So Houston (feat. Lil Keke & Big Baby Flava),47.0,0.772,0.588,1.0,-6.355,0.0,0.0933,0.0816,0.0,0.0726,0.196,95.956,4.0
7574,https://open.spotify.com/track/359krpyCKcFF8SFvqWES9L,359krpyCKcFF8SFvqWES9L,2004,232133,FALSE,Wagon Wheel,66.0,0.621,0.403,9.0,-8.211,1.0,0.0359,0.581,0.0,0.114,0.634,145.523,4.0
7575,https://open.spotify.com/track/35aju8GgJmbaMk9zmhNhg4,35aju8GgJmbaMk9zmhNhg4,2020,214445,FALSE,La Estoy Pasando Mal,68.0,0.512,0.594,0.0,-5.527,1.0,0.0467,0.167,0.0,0.175,0.592,123.884,3.0
7577,https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3,35Dh5MnCUPLN3XyAVtQff3,2020,176786,FALSE,Do It,72.0,0.725,0.668,5.0,-7.286,0.0,0.055,0.0932,2.33e-06,0.112,0.566,82.966,4.0
7578,https://open.spotify.com/track/35eOCG3fDg7hfBj2w1l0R2,35eOCG3fDg7hfBj2w1l0R2,2010,163800,FALSE,Vamos a Darle Con Todo,60.0,0.603,0.645,10.0,-3.956,1.0,0.032,0.223,0.0,0.23,0.656,127.593,3.0
7580,https://open.spotify.com/track/35GACeX8Zl55jp29xFbvvo,35GACeX8Zl55jp29xFbvvo,2016,309093,FALSE,Tremble - Live,64.0,0.329,0.682,0.0,-6.374,1.0,0.0526,0.221,0.0,0.19,0.162,148.029,4.0
7581,https://open.spotify.com/track/35gcvntlpe4RY4Y57NoPcS,35gcvntlpe4RY4Y57NoPcS,2019,101664,FALSE,Shortboard Wipeout,42.0,0.621,0.399,5.0,-10.693,0.0,0.0653,0.818,0.746,0.109,0.52,149.813,4.0
7582,https://open.spotify.com/track/35HusLibk4RIHUh7nheP10,35HusLibk4RIHUh7nheP10,2017,178179,TRUE,Get Fucked,48.0,0.832,0.454,6.0,-13.399,0.0,0.0728,0.433,0.133,0.35,0.711,116.877,4.0
7584,https://open.spotify.com/track/35k31HZI4z9PbBOioaI4dZ,35k31HZI4z9PbBOioaI4dZ,1981,221000,FALSE,Working for the Weekend,68.0,0.515,0.766,7.0,-12.768,1.0,0.0343,0.0249,0.00103,0.455,0.774,146.911,4.0
7585,https://open.spotify.com/track/35Ki1lvKPC2sFBD3GmKdRG,35Ki1lvKPC2sFBD3GmKdRG,2017,194716,FALSE,Televised,67.0,0.591,0.746,8.0,-7.762,1.0,0.0444,0.000729,0.0,0.127,0.432,107.965,4.0
7586,https://open.spotify.com/track/35MKhw2YBKApmD7fAnPERC,35MKhw2YBKApmD7fAnPERC,2019,186804,FALSE,Faith (with Dolly Parton) [feat. Mr. Probz],69.0,0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723,118.118,4.0
7589,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D,35o9a4iAfLl5jRmqMX9c1D,2000,230093,FALSE,Shape of My Heart,73.0,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,4.0
7590,https://open.spotify.com/track/35ON1xFiywJOT66gLbPtI3,35ON1xFiywJOT66gLbPtI3,2009,261426,FALSE,Quiet Little Voices,50.0,0.23,0.931,4.0,-4.313,1.0,0.0637,0.000214,0.0189,0.106,0.428,171.861,4.0
7594,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,35RJhm1pEovTBwnNR0zWad,2020,218901,TRUE,GREECE (feat. Drake),86.0,0.695,0.343,5.0,-10.798,1.0,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,4.0
7595,https://open.spotify.com/track/35rozLoS6QLE8HX8qswM3k,35rozLoS6QLE8HX8qswM3k,2019,237203,FALSE,Rescue Me,63.0,0.433,0.905,11.0,-2.171,1.0,0.101,0.00803,0.0,0.337,0.375,148.149,4.0
7596,https://open.spotify.com/track/35SI5zFEhOeo4XDBMwS41S,35SI5zFEhOeo4XDBMwS41S,2014,335146,FALSE,A Place With No Name,57.0,0.538,0.698,11.0,-4.282,0.0,0.305,0.0103,3.45e-06,0.134,0.424,118.752,4.0
7598,https://open.spotify.com/track/35U4PXL3W3XIkAjEUdhr36,35U4PXL3W3XIkAjEUdhr36,2012,368783,FALSE,Harvest Moon,66.0,0.782,0.622,2.0,-5.832,1.0,0.0411,0.288,0.53,0.58,0.921,106.022,4.0
7599,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,35UUpTmrcFXNIVIN26ujXl,2020,247308,FALSE,Relaci√≥n - Remi,93.0,0.793,0.771,5.0,-3.417,1.0,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,4.0
7601,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,35wvL50xvKpCHEJPxLOLPI,2018,169247,TRUE,Si Estuvi√©semos Junto,83.0,0.672,0.594,1.0,-6.813,0.0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4.0
7603,https://open.spotify.com/track/35Xf2ABjPzUXKz19akd7Jj,35Xf2ABjPzUXKz19akd7Jj,2019,135460,TRUE,Famous Hoes,68.0,0.732,0.627,4.0,-5.693,0.0,0.161,0.346,0.0,0.261,0.332,81.481,4.0
7605,https://open.spotify.com/track/35xSkNIXi504fcEwz9USRB,35xSkNIXi504fcEwz9USRB,2016,257380,TRUE,Solo,69.0,0.444,0.287,5.0,-10.631,0.0,0.0375,0.849,2.82e-06,0.161,0.246,124.027,4.0
7607,https://open.spotify.com/track/35ZmCVnfYRdK1iLGCxNhMa,35ZmCVnfYRdK1iLGCxNhMa,2003,171106,FALSE,The Only,63.0,0.428,0.979,1.0,-2.929,1.0,0.225,7.04e-05,0.0,0.129,0.292,104.84,4.0
7608,https://open.spotify.com/track/360NCp4XoQ0sFi5jgu5Ww7,360NCp4XoQ0sFi5jgu5Ww7,2017,218072,TRUE,Insecure,64.0,0.512,0.511,7.0,-4.412,0.0,0.324,0.537,0.0,0.115,0.651,88.816,4.0
7609,https://open.spotify.com/track/360Wr96ywrCQq4kTAJ8Pq6,360Wr96ywrCQq4kTAJ8Pq6,2015,220013,FALSE,Pacify Her,71.0,0.576,0.593,9.0,-6.024,0.0,0.0306,0.0467,0.000767,0.237,0.373,157.993,4.0
7610,https://open.spotify.com/track/362zcsyXMLbL7PNLhOovvm,362zcsyXMLbL7PNLhOovvm,1985,283626,FALSE,Computer Love,57.0,0.679,0.709,7.0,-5.851,0.0,0.133,0.676,0.0,0.292,0.673,84.543,4.0
7611,https://open.spotify.com/track/363AdJtyD606XgfeuFGGTy,363AdJtyD606XgfeuFGGTy,2019,161776,TRUE,Roscoes,52.0,0.851,0.513,0.0,-12.267,0.0,0.113,0.0467,0.000642,0.0872,0.645,120.013,4.0
7612,https://open.spotify.com/track/363sTxk8gw4vnCVBtEsBCP,363sTxk8gw4vnCVBtEsBCP,2020,181213,FALSE,Kyoto (Copycat Killer Version),59.0,0.149,0.299,11.0,-11.163,1.0,0.0351,0.92,0.00197,0.202,0.273,83.734,5.0
7615,https://open.spotify.com/track/368hMk29q0OhJuRjWL44Fm,368hMk29q0OhJuRjWL44Fm,2018,113502,TRUE,u U U U u U did i mfken stutter?,55.0,0.878,0.414,8.0,-11.881,1.0,0.663,0.0139,4.11e-06,0.0935,0.139,154.831,4.0
