,song_link,id,release_year,duration_ms.x,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2081,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX,0VhgEqMTNZwYL1ARDLLNCX,2016,246880,FALSE,Can I Be Him,79.0,0.696,0.543,11.0,-6.164,1.0,0.0489,0.308,0.0,0.0939,0.479,107.969,4.0
2083,https://open.spotify.com/track/0vjefNvtMdFmw7LOBA2NOp,0vjefNvtMdFmw7LOBA2NOp,2016,162560,FALSE,Una Pagina Mas,61.0,0.626,0.578,8.0,-5.92,1.0,0.0271,0.451,0.0,0.17,0.728,93.928,4.0
2085,https://open.spotify.com/track/0VJYhKhrHgJ7fgjGaC2k07,0VJYhKhrHgJ7fgjGaC2k07,2017,50747,TRUE,The Explanation,58.0,0.597,0.113,0.0,-34.475,1.0,0.954,0.461,0.000393,0.148,0.313,81.311,5.0
2087,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,0VKkyBKCXyR99navhVRqcP,2018,249608,FALSE,La player (Bandolera),75.0,0.769,0.838,2.0,-5.238,1.0,0.0633,0.16,0.0,0.0935,0.602,93.996,4.0
2091,https://open.spotify.com/track/0VmREvheUiN0xgM5fJYQqp,0VmREvheUiN0xgM5fJYQqp,2008,213573,FALSE,Body,71.0,0.596,0.633,10.0,-3.602,0.0,0.0594,0.131,0.0,0.343,0.473,148.09,4.0
2092,https://open.spotify.com/track/0vnzcGZKWdUPo7Kl3kgVYo,0vnzcGZKWdUPo7Kl3kgVYo,2018,182880,TRUE,Zone 6,43.0,0.853,0.417,9.0,-9.407,1.0,0.791,0.174,0.0,0.314,0.652,155.964,4.0
2096,https://open.spotify.com/track/0vPkRB52RENZMpHybpFKYK,0vPkRB52RENZMpHybpFKYK,2019,222461,TRUE,Brand New Numb,63.0,0.566,0.886,0.0,-3.63,1.0,0.0902,0.000348,0.0,0.494,0.619,130.066,4.0
2097,https://open.spotify.com/track/0vpo0LIlSsiqIWf44ydK2z,0vpo0LIlSsiqIWf44ydK2z,2019,184250,FALSE,Sea Of Colors,64.0,0.255,0.118,6.0,-20.562,1.0,0.0769,0.963,0.897,0.101,0.109,139.642,4.0
2099,https://open.spotify.com/track/0vQM29chWYNTrqPoirulxI,0vQM29chWYNTrqPoirulxI,2018,97906,FALSE,Love Is a Drug,67.0,0.841,0.406,7.0,-12.389,1.0,0.358,0.791,0.0,0.0872,0.384,110.061,4.0
2100,https://open.spotify.com/track/0VqMBJyeeRA4I6mSPO5uqZ,0VqMBJyeeRA4I6mSPO5uqZ,2014,302577,FALSE,Holy Spirit,60.0,0.381,0.532,2.0,-7.842,1.0,0.0372,0.00318,0.0,0.098,0.1,143.774,4.0
2102,https://open.spotify.com/track/0Vr10u0wU8YY6EU51sagOm,0Vr10u0wU8YY6EU51sagOm,2020,187663,TRUE,Antidote (Trap House),64.0,0.626,0.513,7.0,-14.898,1.0,0.378,0.615,0.0678,0.334,0.424,135.02,4.0
2108,https://open.spotify.com/track/0VVayn6rXlPniCphi4S17B,0VVayn6rXlPniCphi4S17B,2015,207560,TRUE,Welcome to the Hell Zone,49.0,0.443,0.248,2.0,-15.364,0.0,0.114,0.0901,0.0905,0.138,0.169,81.528,4.0
2109,https://open.spotify.com/track/0VVNXqaDwfHngG2gXaOtlI,0VVNXqaDwfHngG2gXaOtlI,2010,180466,FALSE,Oh No!,59.0,0.776,0.9,0.0,-3.97,1.0,0.0382,0.058,0.0,0.256,0.963,127.051,4.0
2110,https://open.spotify.com/track/0vWg2qGAdSGGsgmyVgb4ox,0vWg2qGAdSGGsgmyVgb4ox,2020,240000,FALSE,The Among Us Rap Battle (Killer on the Floor),64.0,0.77,0.798,6.0,-3.771,0.0,0.0854,0.263,0.0,0.48,0.787,135.084,4.0
2112,https://open.spotify.com/track/0vwOWwl785S9EU1wtbeLLJ,0vwOWwl785S9EU1wtbeLLJ,2020,171245,TRUE,BookBag 2.0 (feat. Polo G),71.0,0.909,0.541,8.0,-6.436,1.0,0.497,0.322,0.0,0.0942,0.823,135.106,4.0
2113,https://open.spotify.com/track/0VXfZi7XhfJnuBvF6XiypU,0VXfZi7XhfJnuBvF6XiypU,2013,210673,TRUE,"III. Telegraph Ave. (""Oakland"" by Lloyd)",62.0,0.496,0.693,5.0,-9.576,0.0,0.247,0.159,0.0261,0.142,0.597,129.929,4.0
2114,https://open.spotify.com/track/0VxocBntP1XTZRsR9ZURPS,0VxocBntP1XTZRsR9ZURPS,2015,105500,FALSE,La Vie En Rose,66.0,0.475,0.149,4.0,-11.429,1.0,0.0395,0.844,0.0,0.14,0.318,95.423,4.0
2115,https://open.spotify.com/track/0vxTKTxKoTmljpT7gb4U1h,0vxTKTxKoTmljpT7gb4U1h,2019,360312,FALSE,"Guarding The Gates - From ""Queen & Slim: The Soundtrack""",52.0,0.322,0.74,11.0,-6.393,1.0,0.117,0.127,0.0,0.361,0.317,148.604,4.0
2119,https://open.spotify.com/track/0VYhxVxH9ijmdHUKsON9Bk,0VYhxVxH9ijmdHUKsON9Bk,2016,191033,TRUE,SideLine Watching (Hold Up),63.0,0.747,0.553,1.0,-7.294,1.0,0.117,0.281,0.0,0.117,0.262,141.888,4.0
2122,https://open.spotify.com/track/0W0a0NRRKU6UqHNyZewmX2,0W0a0NRRKU6UqHNyZewmX2,2013,704688,FALSE,Real Fan Noise (White Noise),61.0,0.0803,0.000598,8.0,-29.066,1.0,0.0708,0.132,0.653,0.11,0.0253,85.273,5.0
2123,https://open.spotify.com/track/0w1Wd17IygSVDMOZtKm4hi,0w1Wd17IygSVDMOZtKm4hi,2020,126274,TRUE,Cry (feat. Grimes),68.0,0.667,0.828,5.0,-4.589,0.0,0.265,0.0229,0.0,0.0756,0.843,173.893,4.0
2124,https://open.spotify.com/track/0w1x05XBSRIuVmKd3D0IPd,0w1x05XBSRIuVmKd3D0IPd,2020,191904,TRUE,Wet Em Up Pt. 2,64.0,0.701,0.645,8.0,-3.084,0.0,0.164,0.0274,0.000174,0.327,0.576,107.955,3.0
2128,https://open.spotify.com/track/0W4Kpfp1w2xkY3PrV714B7,0W4Kpfp1w2xkY3PrV714B7,2012,163133,FALSE,Ho Hey,71.0,0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,4.0
2130,https://open.spotify.com/track/0W4RUo3m0jL0wHADS0PLme,0W4RUo3m0jL0wHADS0PLme,2020,205695,FALSE,The Five Times I Loved You,62.0,0.41,0.0845,4.0,-21.814,1.0,0.0327,0.988,0.93,0.109,0.0795,92.033,4.0
2131,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,0w5Bdu51Ka25Pf3hojsKHh,2017,182693,FALSE,Hard Times,72.0,0.695,0.818,5.0,-5.379,0.0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,4.0
2133,https://open.spotify.com/track/0W64NfLrIsRTAFObko6uJx,0W64NfLrIsRTAFObko6uJx,2019,220240,TRUE,Leaked,78.0,0.51,0.619,7.0,-7.918,1.0,0.281,0.801,0.0,0.0811,0.321,97.018,4.0
2135,https://open.spotify.com/track/0W7KIc2GSB9suYQAaMZ9rF,0W7KIc2GSB9suYQAaMZ9rF,2018,206400,FALSE,Nobody (feat. Matthew West),68.0,0.561,0.717,8.0,-5.72,1.0,0.0381,0.458,0.0,0.138,0.455,79.993,4.0
2136,https://open.spotify.com/track/0W7R5wlb4rjvowSPOY7c8m,0W7R5wlb4rjvowSPOY7c8m,2020,187992,TRUE,Don’t Stop (feat. Young Thu,67.0,0.935,0.665,2.0,-4.65,1.0,0.0779,0.000773,0.0,0.138,0.468,138.027,4.0
2137,https://open.spotify.com/track/0W8NvcMsIuygeFnfNz2KnC,0W8NvcMsIuygeFnfNz2KnC,2019,241760,FALSE,Lo Que Te Di,62.0,0.714,0.891,2.0,-4.223,1.0,0.0344,0.608,6.71e-06,0.288,0.652,97.073,4.0
2139,https://open.spotify.com/track/0w9LJae3sVlZlH2CnxTInF,0w9LJae3sVlZlH2CnxTInF,2011,229533,FALSE,God Gave Me You,64.0,0.483,0.844,2.0,-5.043,1.0,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,4.0
2140,https://open.spotify.com/track/0W9Xvd4Qx1aZPxEi94vgRY,0W9Xvd4Qx1aZPxEi94vgRY,2008,233986,FALSE,Sound of Madness,66.0,0.328,0.939,2.0,-1.654,0.0,0.0423,4.93e-05,0.0065,0.337,0.329,185.971,4.0
2143,https://open.spotify.com/track/0WcFkMy9QR5mNBlJSuCT1j,0WcFkMy9QR5mNBlJSuCT1j,2018,306133,FALSE,He Sentido Amor - Corazón Tun Tu,58.0,0.598,0.78,4.0,-5.689,0.0,0.051,0.00937,0.0417,0.105,0.832,184.003,4.0
2144,https://open.spotify.com/track/0WCiI0ddWiu5F2kSHgfw5S,0WCiI0ddWiu5F2kSHgfw5S,2010,215200,FALSE,Take It Off,69.0,0.729,0.675,5.0,-5.292,0.0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,4.0
2145,https://open.spotify.com/track/0wdaPticLmmqJdhgLDJ9zI,0wdaPticLmmqJdhgLDJ9zI,1995,216333,FALSE,Who Can I Run To,54.0,0.71,0.545,4.0,-9.599,1.0,0.0588,0.483,0.0,0.0644,0.632,140.233,4.0
2146,https://open.spotify.com/track/0wDEs6WvqDHq4XJZC0dHhO,0wDEs6WvqDHq4XJZC0dHhO,2007,307200,FALSE,Hoja En Blanco,67.0,0.932,0.772,0.0,-3.599,1.0,0.0369,0.225,3.24e-06,0.176,0.863,135.063,4.0
2147,https://open.spotify.com/track/0WDHsTEgyvjw4EM24O0Tyd,0WDHsTEgyvjw4EM24O0Tyd,2020,160000,FALSE,Love Is Killing Me,63.0,0.684,0.873,0.0,-4.94,1.0,0.0644,0.169,1.53e-05,0.117,0.374,125.906,4.0
2148,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC,0wdKiSBUT7aZkXUIdJWcwC,2016,240000,TRUE,2 Phones,69.0,0.895,0.681,7.0,-5.267,0.0,0.358,0.157,0.0,0.189,0.554,121.918,4.0
2150,https://open.spotify.com/track/0wdV94AXGRphrbkDWLNzVC,0wdV94AXGRphrbkDWLNzVC,2018,186600,FALSE,Roaring 20s,64.0,0.271,0.948,1.0,-2.207,1.0,0.263,0.0467,0.0,0.163,0.515,83.19,4.0
2153,https://open.spotify.com/track/0weAUscowxeqDtpCgtbpgp,0weAUscowxeqDtpCgtbpgp,1997,227933,FALSE,Gettin' Jiggy Wit It,70.0,0.881,0.874,6.0,-4.505,1.0,0.139,0.0175,1.14e-06,0.154,0.858,107.891,4.0
2155,https://open.spotify.com/track/0wEC0GNF74lAqrEFZJMl1m,0wEC0GNF74lAqrEFZJMl1m,2019,179013,TRUE,PUPPET,65.0,0.508,0.557,8.0,-8.967,0.0,0.0478,0.00235,0.0134,0.588,0.199,77.572,4.0
2156,https://open.spotify.com/track/0wEPue9rjGWgvRYNgvsUfw,0wEPue9rjGWgvRYNgvsUfw,2019,159733,FALSE,Caffeine,53.0,0.746,0.657,1.0,-5.965,0.0,0.0898,0.576,0.000592,0.235,0.545,155.955,4.0
2157,https://open.spotify.com/track/0wfpSAloBATpRUtSxL1fXw,0wfpSAloBATpRUtSxL1fXw,2017,171133,FALSE,Rainberry,60.0,0.639,0.402,7.0,-8.734,1.0,0.158,0.594,0.0,0.382,0.766,91.966,4.0
2158,https://open.spotify.com/track/0wGgLYKG1t7Cl58lBVrAAl,0wGgLYKG1t7Cl58lBVrAAl,2020,200350,FALSE,Save Me,53.0,0.663,0.833,4.0,-6.77,1.0,0.0587,0.0188,0.00371,0.192,0.239,123.964,4.0
2159,https://open.spotify.com/track/0wGv595Z2XDF9ZFbrbQqqH,0wGv595Z2XDF9ZFbrbQqqH,2020,257433,FALSE,Shame Shame,71.0,0.648,0.864,7.0,-4.136,1.0,0.0335,0.00129,0.0296,0.0368,0.354,122.014,4.0
2160,https://open.spotify.com/track/0WHi11uzahqpEtPGYCW6oQ,0WHi11uzahqpEtPGYCW6oQ,2018,185122,FALSE,If I Killed Someone For You,70.0,0.514,0.605,7.0,-5.363,1.0,0.0337,0.774,2.91e-06,0.121,0.409,120.894,4.0
2161,https://open.spotify.com/track/0WIbzDVEpmOyBnqqdtqIL9,0WIbzDVEpmOyBnqqdtqIL9,1988,417800,FALSE,Teen Age Riot (Album Version),64.0,0.286,0.907,7.0,-9.67,1.0,0.0374,0.000277,0.202,0.0837,0.746,156.395,4.0
2162,https://open.spotify.com/track/0wJoRiX5K5BxlqZTolB2LD,0wJoRiX5K5BxlqZTolB2LD,1967,170813,FALSE,Purple Haze,72.0,0.533,0.905,2.0,-5.27,1.0,0.0754,0.00876,0.578,0.0698,0.486,108.9,4.0
2163,https://open.spotify.com/track/0WKmVAD4VWk5EdTyCFILi4,0WKmVAD4VWk5EdTyCFILi4,2018,177479,FALSE,Needs,76.0,0.813,0.601,11.0,-7.552,0.0,0.116,0.189,0.0002,0.426,0.855,118.981,4.0
2164,https://open.spotify.com/track/0wkr4KqObqC55h4U9wqwKn,0wkr4KqObqC55h4U9wqwKn,2020,231733,FALSE,No Se Da Cuenta,77.0,0.811,0.753,1.0,-3.95,0.0,0.0403,0.138,0.0,0.253,0.519,91.98,4.0
2165,https://open.spotify.com/track/0WkX7yvdBEHDaOGeN185l2,0WkX7yvdBEHDaOGeN185l2,2020,26685,FALSE,Interlude - Live,1.0,0.664,0.549,7.0,-15.982,1.0,0.88,0.985,0.246,0.819,0.527,73.971,4.0
2167,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,0wMs7DPFOnToNAoecvAFQc,2019,279280,TRUE,Uniforme,67.0,0.739,0.863,9.0,-3.667,1.0,0.139,0.0656,0.0,0.254,0.773,173.946,4.0
2168,https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW,0WNGsQ1oAuHzNTk8jivBKW,2017,274097,FALSE,Spring Day,76.0,0.539,0.846,8.0,-3.192,1.0,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,4.0
2169,https://open.spotify.com/track/0wokCRaKD0zPNhMRXAgVsr,0wokCRaKD0zPNhMRXAgVsr,1993,340200,FALSE,Ordinary World,73.0,0.472,0.652,1.0,-10.171,0.0,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,4.0
2170,https://open.spotify.com/track/0wovagMoJqtU8LUvDQnewu,0wovagMoJqtU8LUvDQnewu,2019,219920,FALSE,Blue Collar Boys,65.0,0.531,0.813,5.0,-5.517,1.0,0.0327,0.00807,0.0,0.359,0.79,154.134,4.0
2172,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,0WQiDwKJclirSYG9v5tayI,1986,244586,FALSE,There Is a Light That Never Goes Out - 2011 Remaster,74.0,0.523,0.769,4.0,-5.855,1.0,0.0269,0.04,0.0,0.136,0.876,136.162,4.0
2174,https://open.spotify.com/track/0WQZG47PGOUzuQuMpB8gC0,0WQZG47PGOUzuQuMpB8gC0,2019,231601,TRUE,Fuck No (feat. Brasstracks & PhiloSofie),62.0,0.817,0.487,0.0,-6.585,1.0,0.474,0.545,0.0,0.336,0.65,70.949,4.0
2175,https://open.spotify.com/track/0Ws8D3EWUDgY962Xftb0h5,0Ws8D3EWUDgY962Xftb0h5,2017,235973,TRUE,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",55.0,0.722,0.79,4.0,-4.867,0.0,0.241,0.152,0.0,0.0349,0.434,94.965,4.0
2176,https://open.spotify.com/track/0WSPIU3Y3bNXsGeKnzSnt1,0WSPIU3Y3bNXsGeKnzSnt1,2017,358870,FALSE,warm glow,59.0,0.445,0.446,9.0,-8.87,1.0,0.0286,0.324,0.119,0.106,0.0384,92.463,4.0
2177,https://open.spotify.com/track/0wsSMKthhZmRgFjpu1IEBn,0wsSMKthhZmRgFjpu1IEBn,2020,192067,FALSE,Being Human (feat. QORA) - Hyper Potions & VGR Mix,31.0,0.564,0.611,2.0,-12.989,1.0,0.0332,0.117,0.0115,0.0876,0.477,150.052,4.0
2178,https://open.spotify.com/track/0WSTInLqMrT9po0LAHpZCJ,0WSTInLqMrT9po0LAHpZCJ,2019,235509,FALSE,UN Village,65.0,0.674,0.589,6.0,-3.806,0.0,0.112,0.267,0.0,0.312,0.577,83.985,4.0
2179,https://open.spotify.com/track/0WTN7om3lHG3yYMigwzBxl,0WTN7om3lHG3yYMigwzBxl,2018,174860,FALSE,There's No Way (feat. Julia Michaels),71.0,0.755,0.625,2.0,-7.114,1.0,0.0896,0.49,0.0,0.157,0.374,147.02,4.0
2182,https://open.spotify.com/track/0wvIGFIgbyz4JNwQhZgTv2,0wvIGFIgbyz4JNwQhZgTv2,1992,374333,FALSE,Rooster,69.0,0.269,0.551,10.0,-8.456,0.0,0.0274,0.0307,0.000619,0.118,0.202,144.408,3.0
2183,https://open.spotify.com/track/0wVluBsVAVzBKrqspuCcwR,0wVluBsVAVzBKrqspuCcwR,2007,220146,FALSE,"Check Yes, Juliet",71.0,0.352,0.912,7.0,-4.253,1.0,0.0725,0.00197,0.0,0.193,0.351,166.795,4.0
2184,https://open.spotify.com/track/0WVTQp3SOCuMr08jh1jweV,0WVTQp3SOCuMr08jh1jweV,2000,162533,FALSE,Bring It On Home to Me,68.0,0.523,0.402,0.0,-8.233,1.0,0.0305,0.778,0.0,0.432,0.675,70.863,4.0
2185,https://open.spotify.com/track/0wVVBje4f01YrhFdJgbFZu,0wVVBje4f01YrhFdJgbFZu,2020,92891,FALSE,Free Maind,40.0,0.705,0.476,9.0,-16.328,0.0,0.125,0.981,0.968,0.105,0.622,74.99,4.0
2187,https://open.spotify.com/track/0ww5NVJt3quNKHp8Fn5wQK,0ww5NVJt3quNKHp8Fn5wQK,2020,99289,FALSE,Drumdown Mambo (feat. Jasiah),60.0,0.716,0.775,1.0,-1.584,1.0,0.121,0.0931,0.0,0.0677,0.322,91.077,4.0
2188,https://open.spotify.com/track/0ww7SLn0UtlR9mzwFHGFuE,0ww7SLn0UtlR9mzwFHGFuE,2020,247177,TRUE,JOKER,59.0,0.762,0.703,10.0,-7.951,0.0,0.306,0.206,0.0,0.0912,0.519,151.329,4.0
2190,https://open.spotify.com/track/0WWz2AaqxLoO0fa9ou6Fqc,0WWz2AaqxLoO0fa9ou6Fqc,2005,328219,FALSE,White Shadows,53.0,0.491,0.783,8.0,-8.997,0.0,0.0484,0.00521,0.0361,0.0951,0.26,127.437,4.0
2193,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR,0wXuerDYiBnERgIpbb3JBR,2016,326933,TRUE,Redbone,82.0,0.743,0.347,1.0,-11.174,1.0,0.121,0.167,0.00951,0.103,0.572,160.143,4.0
2194,https://open.spotify.com/track/0wxwXyrJYHyGUKlBaCIhgp,0wxwXyrJYHyGUKlBaCIhgp,2017,140038,TRUE,Squeeze,70.0,0.787,0.727,1.0,-7.194,1.0,0.265,0.000997,0.0017,0.376,0.21,141.52,4.0
2195,https://open.spotify.com/track/0wY9rA9fJkuESyYm9uzVK5,0wY9rA9fJkuESyYm9uzVK5,2018,171818,FALSE,D'Evils,67.0,0.784,0.586,1.0,-3.417,1.0,0.187,0.00558,0.000286,0.106,0.656,132.169,4.0
2196,https://open.spotify.com/track/0WYbR2GSfl4ehvmLmcpAqi,0WYbR2GSfl4ehvmLmcpAqi,2005,306026,FALSE,Hicktown,58.0,0.697,0.877,6.0,-3.885,1.0,0.0348,0.00913,6.93e-06,0.0726,0.768,121.534,4.0
2200,https://open.spotify.com/track/0x0yttxnfoqFUYL1UB3Ckh,0x0yttxnfoqFUYL1UB3Ckh,2020,144360,FALSE,if we never met (feat. Kelsea Ballerini),69.0,0.957,0.365,8.0,-7.632,1.0,0.0512,0.207,0.0,0.132,0.355,107.967,4.0
2201,https://open.spotify.com/track/0x1LCpY9Rgeq97VPajm81B,0x1LCpY9Rgeq97VPajm81B,2007,221797,TRUE,Cyclone - Main,64.0,0.644,0.725,11.0,-4.622,1.0,0.0701,0.0112,0.0,0.146,0.584,77.977,4.0
2208,https://open.spotify.com/track/0X5C4WjQNubRysTkHOubz3,0X5C4WjQNubRysTkHOubz3,1989,209573,FALSE,Lovesong - 2010 Remaster,60.0,0.611,0.813,9.0,-7.689,0.0,0.0279,0.339,0.898,0.224,0.821,140.112,4.0
2210,https://open.spotify.com/track/0X5mtNbqxbiTYkwj0CQc2f,0X5mtNbqxbiTYkwj0CQc2f,2020,188306,FALSE,Crash My Car,70.0,0.244,0.645,5.0,-5.863,1.0,0.0456,0.00178,0.00574,0.301,0.529,183.577,5.0
2211,https://open.spotify.com/track/0X6coWomPnfGLXQ6gdi3cI,0X6coWomPnfGLXQ6gdi3cI,2019,233813,FALSE,Lo Que Tenías Conmig,70.0,0.475,0.788,9.0,-3.124,1.0,0.0346,0.0517,0.0,0.0829,0.23,147.627,4.0
2214,https://open.spotify.com/track/0xAA90OfUjpnxCw4Rf162Q,0xAA90OfUjpnxCw4Rf162Q,2012,252320,FALSE,Miles Away - feat. Kellin Quinn,50.0,0.511,0.942,6.0,-3.254,0.0,0.107,0.0148,4.45e-06,0.112,0.515,118.002,4.0
2217,https://open.spotify.com/track/0XC9N5n8osww4bfsPuNMpS,0XC9N5n8osww4bfsPuNMpS,2016,239205,TRUE,No Quiere Enamorarse - Remix,59.0,0.766,0.82,0.0,-3.135,1.0,0.0688,0.148,0.0,0.659,0.819,164.049,4.0
2218,https://open.spotify.com/track/0xCA70t1ZA4fa9UOE0lIJm,0xCA70t1ZA4fa9UOE0lIJm,2014,244573,FALSE,I'm a Mess,67.0,0.697,0.377,3.0,-7.755,1.0,0.0397,0.556,0.0,0.0999,0.336,138.754,4.0
2219,https://open.spotify.com/track/0Xcy81PsJCOO6mhLZaQyQ4,0Xcy81PsJCOO6mhLZaQyQ4,2018,215413,TRUE,Perfecto,63.0,0.599,0.317,1.0,-11.212,1.0,0.174,0.748,0.0,0.111,0.203,148.09,4.0
2220,https://open.spotify.com/track/0xDSWRsn4Z77FiSjb7bJz6,0xDSWRsn4Z77FiSjb7bJz6,2018,228780,FALSE,The Jump,60.0,0.714,0.853,3.0,-4.45,1.0,0.0569,0.000148,0.864,0.0819,0.2,128.051,4.0
2223,https://open.spotify.com/track/0xEW9gPv5wNuS84pXGG3lc,0xEW9gPv5wNuS84pXGG3lc,2020,156721,FALSE,Running On My Mind,73.0,0.619,0.453,5.0,-7.697,1.0,0.0264,0.464,0.0,0.149,0.217,96.021,4.0
2227,https://open.spotify.com/track/0XGLsSU6wtfnKXiMNvQr61,0XGLsSU6wtfnKXiMNvQr61,2015,246047,TRUE,Versace (Remix),59.0,0.845,0.705,6.0,-4.271,0.0,0.243,0.0218,0.0,0.339,0.334,132.05,4.0
2228,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971,0XinBYhf1X3kdvKQHOX971,2020,198499,FALSE,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungar,87.0,0.812,0.747,4.0,-4.611,0.0,0.15,0.31,0.00412,0.1,0.488,168.025,4.0
2230,https://open.spotify.com/track/0XJzb4Jor8YR2razT8lA4r,0XJzb4Jor8YR2razT8lA4r,2020,355762,TRUE,COMPOSITION XI,51.0,0.368,0.644,3.0,-4.343,0.0,0.0652,0.0976,0.012,0.106,0.0398,93.214,4.0
2232,https://open.spotify.com/track/0xKBkLcF71uUQeTA7FSu4A,0xKBkLcF71uUQeTA7FSu4A,2020,160720,TRUE,BEST ON EARTH (feat. BIA) - Bonus,74.0,0.846,0.748,5.0,-3.512,0.0,0.078,0.188,0.0,0.093,0.597,90.006,4.0
2233,https://open.spotify.com/track/0XkifPsgC2kymXSJvhGrtk,0XkifPsgC2kymXSJvhGrtk,2019,241120,TRUE,Falling Down - Travis Barker Remix,55.0,0.447,0.801,4.0,-6.369,0.0,0.0558,0.0424,0.000866,0.337,0.146,126.862,4.0
2234,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec,0XkmeG97T4mtYlWRJcrxec,2020,147672,TRUE,Party Girl (Remix),70.0,0.752,0.375,6.0,-10.157,0.0,0.204,0.533,0.0,0.175,0.591,129.995,4.0
2235,https://open.spotify.com/track/0xKNTDmIym4R2TfKnS4FQo,0xKNTDmIym4R2TfKnS4FQo,2018,218614,FALSE,Airplane pt.2,71.0,0.769,0.817,0.0,-4.092,0.0,0.0339,0.0268,9.95e-05,0.084,0.866,139.979,4.0
2236,https://open.spotify.com/track/0xl5SmrxNAmwc92Ihv9e5s,0xl5SmrxNAmwc92Ihv9e5s,2017,199714,TRUE,Zone,55.0,0.722,0.551,2.0,-6.852,1.0,0.0397,0.25,6.39e-05,0.162,0.531,139.983,4.0
2239,https://open.spotify.com/track/0xMEF2WiqKWTIG7Krjungw,0xMEF2WiqKWTIG7Krjungw,1996,179653,FALSE,The Distance,64.0,0.463,0.749,11.0,-8.118,0.0,0.0891,0.00796,0.00219,0.0558,0.888,183.048,4.0
2240,https://open.spotify.com/track/0xmniyyldEt2E0T0sPvpOq,0xmniyyldEt2E0T0sPvpOq,2017,146454,FALSE,"We Are The Crystal Gems (feat. Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz & Tom Scharpling) - Full Theme Song",55.0,0.469,0.35,5.0,-10.046,1.0,0.0619,0.38,0.0,0.141,0.473,87.401,4.0
2241,https://open.spotify.com/track/0xmwsmYdbXuZDHeixtATZF,0xmwsmYdbXuZDHeixtATZF,2019,262478,FALSE,Earthy Rain With Rolling Thunder,67.0,0.147,0.836,1.0,-21.972,1.0,0.0726,0.13,0.875,0.11,0.0249,137.118,3.0
2242,https://open.spotify.com/track/0XmzqchrogvmI01Bo7xtLG,0XmzqchrogvmI01Bo7xtLG,2020,237000,FALSE,Familiar Grounds,59.0,0.362,0.0342,0.0,-28.605,0.0,0.0478,0.995,0.941,0.108,0.298,67.983,4.0
2243,https://open.spotify.com/track/0Xn2rEgAEJ82XKXLttBNEv,0Xn2rEgAEJ82XKXLttBNEv,2019,186461,FALSE,Quiet Nights,62.0,0.479,0.00601,0.0,-36.032,1.0,0.038,0.924,0.938,0.348,0.245,130.037,4.0
2245,https://open.spotify.com/track/0XNu9Mqd7TLnKRNVHpe6T5,0XNu9Mqd7TLnKRNVHpe6T5,2018,214520,FALSE,Candle,54.0,0.77,0.703,3.0,-6.032,1.0,0.0358,0.124,0.0,0.0626,0.873,94.959,4.0
2248,https://open.spotify.com/track/0xpq9dzxyQtJr1FY6d5qYi,0xpq9dzxyQtJr1FY6d5qYi,2020,102475,FALSE,Studio Vibes,55.0,0.264,0.189,6.0,-19.002,0.0,0.273,0.00768,0.706,0.187,0.37,187.196,3.0
2252,https://open.spotify.com/track/0XQreiUrifZeJwosTL4x7l,0XQreiUrifZeJwosTL4x7l,2020,152502,FALSE,Uso Libre,51.0,0.813,0.331,3.0,-10.359,1.0,0.0689,0.00193,0.925,0.148,0.392,84.974,4.0
2254,https://open.spotify.com/track/0xRLP2ZoNjBWh2GnUebqpG,0xRLP2ZoNjBWh2GnUebqpG,2015,190080,FALSE,August,45.0,0.779,0.425,9.0,-7.088,1.0,0.0559,0.218,0.00174,0.117,0.296,125.009,4.0
2259,https://open.spotify.com/track/0XUHYxHOOctkSXReILAaJV,0XUHYxHOOctkSXReILAaJV,2018,211204,TRUE,This Way (Khalid x H.E.R.),47.0,0.62,0.282,5.0,-10.533,0.0,0.0464,0.694,0.0,0.119,0.193,124.609,3.0
